temperature,n_rows,n_with_permeability,n_strict_temperature_match,n_sequence_fallback_match,n_missing_permeability,n_zero_permeability,mean_permeability_pred,median_permeability_pred,max_permeability_pred,mean_permeability_log10_positive_only,median_permeability_log10_positive_only,mean_permeability_log10_floor300,median_permeability_log10_floor300,mean_peptide_ca_rmsd_after_receptor_fit,median_peptide_ca_rmsd_after_receptor_fit
0.01,17,16,15,1,1,0,0.1250868279040782,1.848642405821721e-09,1.0,-12.742616108600485,-8.888659602323864,-12.742616108600485,-8.888659602323864,30.91285294117647,42.4658
0.1,17,17,15,2,0,0,0.11775931869358285,2.428947709631757e-09,1.0,-10.209477753015252,-8.614581834582612,-10.209477753015252,-8.614581834582612,33.076499999999996,43.0895
0.2,17,17,17,0,0,0,0.11884776960298037,1.8383303768132464e-08,1.0,-8.25051209753014,-7.735576436402959,-8.25051209753014,-7.735576436402959,29.54150588235294,41.5948
0.3,17,17,17,0,0,0,0.14033188562913745,2.4601510517641145e-07,1.0,-7.465104791076792,-6.609038226663423,-7.465104791076792,-6.609038226663423,30.12511176470588,40.0638
0.5,17,17,17,0,0,0,0.1288201250384957,5.161169610801153e-06,1.0,-7.659386788730124,-5.2872518685362015,-7.659386788730124,-5.2872518685362015,25.99261176470588,27.4252
