temperature,n_rows,n_with_permeability,n_strict_temperature_match,n_sequence_fallback_match,n_missing_permeability,n_zero_permeability,mean_permeability_pred,median_permeability_pred,max_permeability_pred,mean_permeability_log10_positive_only,median_permeability_log10_positive_only,mean_permeability_log10_floor300,median_permeability_log10_floor300,mean_natural_aa_recovery,best_natural_aa_recovery
0.01,17,16,15,1,1,0,0.1250868279040782,1.848642405821721e-09,1.0,-12.742616108600485,-8.888659602323864,-12.742616108600485,-8.888659602323864,0.02871148459383753,0.1666666666666666
0.1,17,17,15,2,0,0,0.11775931869358285,2.428947709631757e-09,1.0,-10.209477753015252,-8.614581834582612,-10.209477753015252,-8.614581834582612,0.10539215686274507,0.1666666666666666
0.2,17,17,17,0,0,0,0.11884776960298037,1.8383303768132464e-08,1.0,-8.25051209753014,-7.735576436402959,-8.25051209753014,-7.735576436402959,0.12535014005602238,0.1666666666666666
0.3,17,17,17,0,0,0,0.14033188562913745,2.4601510517641145e-07,1.0,-7.465104791076792,-6.609038226663423,-7.465104791076792,-6.609038226663423,0.15826330532212884,0.3333333333333333
0.5,17,17,17,0,0,0,0.1288201250384957,5.161169610801153e-06,1.0,-7.659386788730124,-5.2872518685362015,-7.659386788730124,-5.2872518685362015,0.17717086834733892,0.3333333333333333
