temperature,n_raw,n_unique,n_duplicates,unique_rate,mean_recovery,best_recovery,mean_methyl_rate
0.01,82,64,18,0.7804878048780488,0.01488095238095238,0.16666666666666666,0.27693089430894313
0.1,394,293,101,0.7436548223350253,0.024625332366449117,0.16666666666666666,0.23239968576262993
0.2,776,597,179,0.7693298969072165,0.0352003559155621,0.16666666666666666,0.19871440844378988
0.3,1181,988,193,0.8365791701947503,0.0390206040079029,0.3333333333333333,0.15541712027740817
0.5,1582,1501,81,0.9487989886219975,0.0442364999096984,0.3333333333333333,0.0967355968936247
