phase,ground_truth,threshold,accuracy,precision,recall,f1,false_positive_rate,pred_methyl_rate,tp,tn,fp,fn,input_mode,task
pre_as_originally_reported,historical pre-correction labels (contains provenance error),0.6,0.9029900332,0.9682539683,0.5665634675,0.71484375,0.0050761421,0.1255813953,183,1176,6,140,strict_naturalized_input,known_sequence_methylation
pre_as_originally_reported,historical pre-correction labels (contains provenance error),0.6,0.8511627907,0.896,0.346749226,0.5,0.010998308,0.0830564784,112,1169,13,211,strict_naturalized_input,end_to_end_methylation
