Original checkpoint performance by residue,,,,,,,,,,,,,,,,,,
Ser-provenance-corrected truth at confidence >0.6; includes overall and residue-specific scopes.,,,,,,,,,,,,,,,,,,
phase,task,scope,ground_truth,auc,threshold,accuracy,precision,recall,f1,false_positive_rate,pred_methyl_rate,tp,tn,fp,fn,positions,methyl_positives,natural_negatives
pre_original_checkpoint,end_to_end,residue_C,Ser-provenance-corrected held-out labels,0.8561076605,0.6,0.9277108434,1,0.5714285714,0.7272727273,0,0.0963855422,8,69,0,6,83,14,69
pre_original_checkpoint,end_to_end,residue_D,Ser-provenance-corrected held-out labels,0.9131652661,0.6,0.8615384615,0.8571428571,0.4285714286,0.5714285714,0.0196078431,0.1076923077,6,50,1,8,65,14,51
pre_original_checkpoint,end_to_end,residue_E,Ser-provenance-corrected held-out labels,0.9209183673,0.6,0.8714285714,0.8571428571,0.4285714286,0.5714285714,0.0178571429,0.1,6,55,1,8,70,14,56
pre_original_checkpoint,end_to_end,residue_F,Ser-provenance-corrected held-out labels,0.96484375,0.6,0.8625,1,0.3125,0.4761904762,0,0.0625,5,64,0,11,80,16,64
pre_original_checkpoint,end_to_end,residue_G,Ser-provenance-corrected held-out labels,0.9498207885,0.6,0.9295774648,0.8333333333,0.5555555556,0.6666666667,0.0161290323,0.0845070423,5,61,1,4,71,9,62
pre_original_checkpoint,end_to_end,residue_H,Ser-provenance-corrected held-out labels,0.9025923016,0.6,0.8488372093,0.875,0.3684210526,0.5185185185,0.0149253731,0.0930232558,7,66,1,12,86,19,67
pre_original_checkpoint,end_to_end,residue_I,Ser-provenance-corrected held-out labels,0.8515625,0.6,0.8611111111,0.875,0.4375,0.5833333333,0.0178571429,0.1111111111,7,55,1,9,72,16,56
pre_original_checkpoint,end_to_end,residue_K,Ser-provenance-corrected held-out labels,0.9722222222,0.6,0.9384615385,0.8571428571,0.6666666667,0.75,0.0178571429,0.1076923077,6,55,1,3,65,9,56
pre_original_checkpoint,end_to_end,residue_L,Ser-provenance-corrected held-out labels,0.9157608696,0.6,0.9058823529,1,0.5,0.6666666667,0,0.0941176471,8,69,0,8,85,16,69
pre_original_checkpoint,end_to_end,residue_M,Ser-provenance-corrected held-out labels,0.9036281179,0.6,0.8961038961,0.875,0.5,0.6363636364,0.0158730159,0.1038961039,7,62,1,7,77,14,63
pre_original_checkpoint,end_to_end,residue_N,Ser-provenance-corrected held-out labels,0.9080188679,0.6,0.9016393443,1,0.25,0.4,0,0.0327868852,2,53,0,6,61,8,53
pre_original_checkpoint,end_to_end,residue_P,Ser-provenance-corrected held-out labels,,0.6,0.9759036145,,,,0.0240963855,0.0240963855,0,81,2,0,83,0,83
pre_original_checkpoint,end_to_end,residue_Q,Ser-provenance-corrected held-out labels,0.9267285862,0.6,0.8571428571,1,0.4736842105,0.6428571429,0,0.1285714286,9,51,0,10,70,19,51
pre_original_checkpoint,end_to_end,residue_R,Ser-provenance-corrected held-out labels,0.944047619,0.6,0.8591549296,0.8571428571,0.4,0.5454545455,0.0178571429,0.0985915493,6,55,1,9,71,15,56
pre_original_checkpoint,end_to_end,residue_S,Ser-provenance-corrected held-out labels,0.8924731183,0.6,0.9054054054,0.8571428571,0.5,0.6315789474,0.0161290323,0.0945945946,6,61,1,6,74,12,62
pre_original_checkpoint,end_to_end,residue_T,Ser-provenance-corrected held-out labels,0.8702956989,0.6,0.7906976744,1,0.25,0.4,0,0.0697674419,6,62,0,18,86,24,62
pre_original_checkpoint,end_to_end,residue_V,Ser-provenance-corrected held-out labels,0.8761261261,0.6,0.8953488372,0.8,0.3333333333,0.4705882353,0.0135135135,0.0581395349,4,73,1,8,86,12,74
pre_original_checkpoint,end_to_end,residue_W,Ser-provenance-corrected held-out labels,0.9709090909,0.6,0.8923076923,1,0.3,0.4615384615,0,0.0461538462,3,55,0,7,65,10,55
pre_original_checkpoint,end_to_end,residue_Y,Ser-provenance-corrected held-out labels,0.8756410256,0.6,0.8767123288,0.8333333333,0.3846153846,0.5263157895,0.0166666667,0.0821917808,5,59,1,8,73,13,60
